Gloeocapsa_sp.	PCC_73106	AB039000.1	insd
Geminocystis_herdmanii	PCC_6308	AB039001.1	insd
Pleurocapsa_sp.	PCC_7319	AB039006.1	insd
Stanieria_sp.	PCC_7301	AB039009.1	insd
Geitlerinema_sp.	PCC_7105	AB039010.1	insd
Nodosilinea_nodulosa	PCC_7104	AB039012.1	insd
Pseudanabaena_sp.	PCC_6802	AB039016.1	insd
Pseudanabaena_sp.	PCC_7367	AB039018.1	insd
Tychonema_bourrellyi	CCAP_1459/11B	AB045897.1	insd
Limnothrix_redekei	NIVA-CYA_227/1	AB045929.1	insd
Pleurocapsa_sp.	PCC_7314	AB074511.1	insd
Trichodesmium_erythraeum	IMS_101	AB075999.1	insd
Arthronema_africanum	SAG_12.89	AB115966.1	insd
Aphanothece_sacrum	-	AB119259.1	insd
Sphaerospermopsis_kisseleviana	TAC34	AB551437.1	insd
Nostoc_punctiforme	PCC_73102	AF027655.1	insd
Chlorogloeopsis_fritschii	PCC_6718	AF132777.1	insd
Prochlorothrix_hollandica	-	AF132792.1	insd
Stenomitos_tremulus	UTCC_471	AF218371.1	insd
Nodularia_sphaerocarpa	PCC_7804	AF268019.1	insd
Halothece_sp.	PCC_7418	AF296872.1	insd
Rippkaea_orientalis	PCC_8801	AF296873.1	insd
Halomicronema_excentricum	TFEP1	AF320093.1	insd
Spirirestis_rafaelensis	SRS6	AF334691.1	insd
Coleodesmium_wrangelii	MC-JRJ1	AF334702.1	insd
Microcoleus_steenstrupii	-	AF355384.1	insd
Microcoleus_steenstrupii	-	AF355395.1	insd
Euhalothece_sp.	MPI_95AH10	AJ000709.1	insd
Euhalothece_sp.	MPI_96N304	AJ000713.1	insd
Gloeothece_citriformis	PCC_7424	AJ000715.1	insd
Synechococcus_sp.	PCC_7002	AJ000716.1	insd
Prochlorothrix_hollandica	-	AJ007907.1	insd
Anabaena_sp.	PCC7108	AJ133162.1	insd
Myxosarcina_sp.	PCC_7312	AJ344561.1	insd
Limnothrix_redekei	165c	AJ505943.1	insd
Symphyonemopsis_sp.	VAPOR1	AJ544085.1	insd
Limnothrix_redekei	CCAP_1443/1	AJ580007.1	insd
Snowella_litoralis	0tu37s04	AJ781040.1	insd
Woronichinia_naegeliana	0LE35S01	AJ781043.1	insd
Nodularia_sphaerocarpa	BECID36	AJ781147.1	insd
Rivularia_atra	BIRMGR1	AM230675.1	insd
Gloeotrichia_echinulata	URA3	AM230705.1	insd
Kamptonema_formosum	PCC_6407	AM398782.1	insd
Desmonostoc_muscorum	Lukesova_2/91	AM711524.1	insd
Anabaenopsis_elenkinii	AB2002/34	AM773303.1	insd
Hassallia_byssoidea	CCALA_823	AM905327.2	insd
Hapalosiphon_welwitschii	-	AY034793.1	insd
Leptolyngbya_sp.	SEV5-1-C5	AY239594.1	insd
Leptolyngbya_sp.	SEV4-3-C1	AY239596.1	insd
Leptolyngbya_crispata	SEV4-3-C6	AY239598.1	insd
Chrysosporum_ovalisporum	ILC-146	AY335547.1	insd
Anagnostidinema_carotinosum	AICB_37	AY423710.1	insd
Phormidesmis_priestleyi	ANT.L52.4	AY493578.1	insd
Mojavia_pulchra	JT2-VF2	AY577534.1	insd
Halomicronema_sp.	PCyano40	DQ058890.1	insd
Dermocarpella_sp.	-	EF150792.1	insd
Leptolyngbya_tenerrima	UTCC_77	EF429288.1	insd
Leptolyngbya_boryana	UTEX_B_485	EF429291.1	insd
Leptolyngbya_corticola	CCALA_085;_TAKACOVA_1983/4	EF429299.1	insd
Microcoleus_sp.	SAG_2212	EF654075.1	insd
Mastigocladus_laminosus	SAG_4.84	EU116035.1	insd
Nodosilinea_conica	SEV4-5-c1	EU528667.2	insd
Nodosilinea_bijugata	KOVACIK1986/5a	EU528669.2	insd
Aulosira_bohemensis	ISB-2	EU532189.1	insd
Cylindrospermopsis_raciborskii	CS-505	EU552062.1	insd
Raphidiopsis_brookii	D9	EU552070.1	insd
Microcoleus_sp.	TAA2-1A	EU586738.1	insd
Microcoleus_sp.	JO1-1A	EU586739.1	insd
Microcoleus_steenstrupii	FI-LIZ3B	EU586740.1	insd
Phormidesmis_priestleyi	TM4LUS131	EU852504.1	insd
Sphaerospermopsis_reniformis	-	FM161348.1	insd
Dolichospermum_planctonicum	00-05	FN691922.1	insd
Dolichospermum_spiroides	04-51	FN691925.1	insd
Cyanospira_rippkae	NMBCl	FR774768.1	insd
Cyanospira_capsulata	CCAX	FR774777.1	insd
Aphanothece_stagnina	H7	FR848375.1	insd
Chroococcus_sp.	CCALA_701	GQ375046.1	insd
Chroococcus_minutus	CCALA_055	GQ375047.1	insd
Limnococcus_limneticus	Svet06	GQ375048.1	insd
Anabaenopsis_circularis	PMC191.03	GQ859629.1	insd
Planktolyngbya_limnetica	PMC271.06	GQ859645.1	insd
Blennothrix_majus	-	GU238273.1	insd
Blennothrix_glutinosa	-	GU238276.1	insd
Nunduva_britannica	VN8.BC_33/8	HE797730.1	insd
Microchaete_tenera	630	HE797733.1	insd
Merismopedia_glauca	CCAP_1448/3	HF678499.1	insd
Trichormus_variabilis	CCAP_1403/13A	HF678501.1	insd
Scytonema_javanicum	U41-MK36	HF911525.1	insd
Tolypothrix_distorta	ACOI_731	HG970652.1	insd
Tolypothrix_tenuis	CCALA_197	HG970655.1	insd
Nodosilinea_epilithica	Kovacik_1998/7	HM018677.1	insd
Pegethrix_olivacea	GSE-PSE-MK46-15A	HM018688.1	insd
Drouetiella_hepatica	Uher_2000/2452	HM018689.1	insd
Drouetiella_lurida	Lukesova_1986/6	HM018690.1	insd
Timaviella_obliquedivisa	GSE-PSE28-08A	HM018691.1	insd
Tildeniella_nuda	Zehnder_1965/U140	HM018692.1	insd
Pantanalinema_rosaneae	-	HM105583.2	insd
Godleya_alpina	LCR-CY2	HQ012540.1	insd
Scytonematopsis_contorta	HA4292-MV4	HQ847561.1	insd
Chroococcidiopsis_cubana	SAG_39.79	JF810080.1	insd
Phormidium_autumnale	CCALA_697	JN230345.1	insd
Pleurocapsa_sp.	HA4302-MV1	JN385285.1	insd
Pelatocladus_maniniholoensis	HA4357-MV3	JN385293.1	insd
Heteroscytonema_cf.	UCFS16	JN565276.1	insd
Scytonema_cf.	UCFS22	JN565281.1	insd
Toxopsis_calypsus	PLF	JN695681.1	insd
Wilmottia_murrayi	KOVACIK-ANT_2003/11a	JN979962.1	insd
Wilmottia_murrayi	KOVACIK-ANT_2004/75	JN979963.1	insd
Limnothrix_planktonica	CHAB709	JQ004021.2	insd
Tolypothrix_tenuis	UFS-BI-NPMV-1A2-F06	JQ083652.1	insd
Tolypothrix_campylonemoides	FI5-MK38	JQ083654.1	insd
Spirirestis_rafaelensis	WJT-71-NPBG6	JQ083655.1	insd
Scytonema_sp.	HAF2-B2-c1	JQ083659.1	insd
Sphaerospermopsis_aphanizomenoides	09-03	JQ237771.1	insd
