AB039000.1	Gloeocapsa sp. PCC 73106	PCC 73106	insd
AB039001.1	Geminocystis herdmanii PCC 6308	PCC 6308	insd
AB039006.1	Pleurocapsa sp. PCC 7319	PCC 7319	insd
AB039009.1	Stanieria sp. PCC 7301	PCC 7301	insd
AB039010.1	Geitlerinema sp. PCC 7105	PCC 7105	insd
AB039012.1	Nodosilinea nodulosa PCC 7104	PCC 7104	insd
AB039016.1	Pseudanabaena sp. PCC 6802	PCC 6802	insd
AB039018.1	Pseudanabaena sp. PCC 7367	PCC 7367	insd
AB045897.1	Tychonema bourrellyi CCAP 1459/11B	CCAP 1459/11B	insd
AB045929.1	Limnothrix redekei NIVA-CYA 227/1	NIVA-CYA 227/1	insd
AB074511.1	Pleurocapsa sp. PCC 7314	PCC 7314	insd
AB075999.1	Trichodesmium erythraeum IMS101	IMS 101	insd
AB115966.1	Arthronema africanum SAG 12.89	SAG 12.89	insd
AB119259.1	Aphanothece sacrum	-	insd
AB551437.1	Sphaerospermopsis kisseleviana TAC34	TAC34	insd
AF027655.1	Nostoc punctiforme PCC 73102	PCC 73102	insd
AF132777.1	Chlorogloeopsis fritschii PCC 6718	PCC 6718	insd
AF132792.1	Prochlorothrix hollandica	-	insd
AF218371.1	Stenomitos tremulus	UTCC 471	insd
AF268019.1	Nodularia sphaerocarpa PCC 7804	PCC 7804	insd
AF296872.1	Halothece sp. PCC 7418	PCC 7418	insd
AF296873.1	Rippkaea orientalis PCC 8801	PCC 8801	insd
AF320093.1	Halomicronema excentricum str. TFEP1	TFEP1	insd
AF334691.1	Spirirestis rafaelensis SRS6	SRS6	insd
AF334702.1	Coleodesmium wrangelii	MC-JRJ1	insd
AF355384.1	Microcoleus steenstrupii	-	insd
AF355395.1	Microcoleus steenstrupii	-	insd
AJ000709.1	Euhalothece sp. 'MPI 95AH10'	MPI 95AH10	insd
AJ000713.1	Euhalothece sp. 'MPI 96N304'	MPI 96N304	insd
AJ000715.1	Gloeothece citriformis PCC 7424	PCC 7424	insd
AJ000716.1	Synechococcus sp. PCC 7002	PCC 7002	insd
AJ007907.1	Prochlorothrix hollandica	-	insd
AJ133162.1	Anabaena sp. PCC 7108	PCC7108	insd
AJ344561.1	Myxosarcina sp. PCC 7312	PCC 7312	insd
AJ505943.1	Limnothrix redekei 165c	165c	insd
AJ544085.1	Symphyonemopsis sp. VAPOR1	VAPOR1	insd
AJ580007.1	Limnothrix redekei CCAP 1443/1	CCAP 1443/1	insd
AJ781040.1	Snowella litoralis 0tu37s04	0tu37s04	insd
AJ781043.1	Woronichinia naegeliana 0LE35S01	0LE35S01	insd
AJ781147.1	Nodularia sphaerocarpa	BECID36	insd
AM230675.1	Rivularia atra BIR MGR1	BIRMGR1	insd
AM230705.1	Gloeotrichia echinulata URA3	URA3	insd
AM398782.1	Kamptonema formosum PCC 6407	PCC 6407	insd
AM711524.1	Desmonostoc muscorum	Lukesova 2/91	insd
AM773303.1	Anabaenopsis elenkinii AB2002/34	AB2002/34	insd
AM905327.2	Hassallia byssoidea	CCALA 823	insd
AY034793.1	Hapalosiphon welwitschii	-	insd
AY239594.1	Leptolyngbya sp. SEV5-1-C5	SEV5-1-C5	insd
AY239596.1	Leptolyngbya sp. SEV4-3-C1	SEV4-3-C1	insd
AY239598.1	Leptolyngbya crispata SEV4-3-C6	SEV4-3-C6	insd
AY335547.1	Chrysosporum ovalisporum	ILC-146	insd
AY423710.1	Anagnostidinema carotinosum AICB 37	AICB 37	insd
AY493578.1	Phormidesmis priestleyi ANT.L52.4	ANT.L52.4	insd
AY577534.1	Mojavia pulchra JT2-VF2	JT2-VF2	insd
DQ058890.1	Halomicronema sp. PCyano40	PCyano40	insd
